OBJECTID,neighborhood,Response Month,Response Day,Response Year,citationIssued,policePrecinct,citationCnt
37179,Nicollet Island - East Bank,07,10,2017,YES,2,1
37185,Nicollet Island - East Bank,07,10,2017,YES,2,1
37188,Nicollet Island - East Bank,07,10,2017,YES,2,1
37207,Lyndale,07,10,2017,YES,5,1
37208,Whittier,07,10,2017,YES,5,1
37241,Marshall Terrace,07,10,2017,YES,2,1
37271,Downtown West,07,11,2017,YES,1,1
37284,St. Anthony West,07,11,2017,YES,2,1
37289,Folwell,07,11,2017,YES,4,1
37298,Whittier,07,11,2017,YES,5,1
37308,Marcy Holmes,07,11,2017,YES,2,1
37326,Steven's Square - Loring Heights,07,11,2017,YES,5,1
37335,Longfellow,07,11,2017,YES,3,1
37343,Jordan,07,11,2017,YES,4,1
37345,Jordan,07,11,2017,YES,4,1
37346,Unknown,07,11,2017,YES,,1
37354,Marshall Terrace,07,11,2017,YES,2,1
37355,Cedar Riverside,07,11,2017,YES,1,1
37357,Jordan,07,11,2017,YES,4,1
37358,Ventura Village,07,11,2017,YES,3,1
37361,Bryn - Mawr,07,11,2017,YES,4,1
37368,Willard - Hay,07,11,2017,YES,4,1
37396,Cedar Riverside,07,11,2017,YES,1,1
37398,East Phillips,07,11,2017,YES,3,1
37406,Cedar - Isles - Dean,07,11,2017,YES,5,1
37422,Windom Park,07,11,2017,YES,2,1
37483,East Isles,07,12,2017,YES,5,1
37492,Beltrami,07,12,2017,YES,2,1
37493,Ventura Village,07,12,2017,YES,3,1
37498,Marcy Holmes,07,12,2017,YES,2,1
37500,Marcy Holmes,07,12,2017,YES,2,1
37503,Beltrami,07,12,2017,YES,2,1
37506,Beltrami,07,12,2017,YES,2,1
37508,Marcy Holmes,07,12,2017,YES,2,1
37512,Marcy Holmes,07,12,2017,YES,2,1
37519,Marcy Holmes,07,12,2017,YES,2,1
37528,Beltrami,07,12,2017,YES,2,1
37539,Nicollet Island - East Bank,07,12,2017,YES,2,1
37561,Shingle Creek,07,12,2017,YES,4,1
37562,McKinley,07,12,2017,YES,4,1
37563,Cleveland,07,12,2017,YES,4,1
37566,Victory,07,12,2017,YES,4,1
37570,Near - North,07,12,2017,YES,4,1
37572,Willard - Hay,07,12,2017,YES,4,1
37574,Victory,07,12,2017,YES,4,1
37581,Linden Hills,07,12,2017,YES,5,1
37603,Loring Park,07,12,2017,YES,1,1
37605,Willard - Hay,07,12,2017,YES,4,1
37619,Whittier,07,12,2017,YES,5,1
37644,Near - North,07,13,2017,YES,4,1
37648,Downtown West,07,13,2017,YES,1,1
37661,Lowry Hill East,07,13,2017,YES,5,1
37667,Marcy Holmes,07,13,2017,YES,2,1
37670,Whittier,07,13,2017,YES,5,1
37685,Harrison,07,13,2017,YES,4,1
37699,Harrison,07,13,2017,YES,4,1
37708,King Field,07,13,2017,YES,5,1
37716,Near - North,07,13,2017,YES,4,1
37722,Willard - Hay,07,13,2017,YES,4,1
37726,Jordan,07,13,2017,YES,4,1
37730,Near - North,07,13,2017,YES,4,1
37732,Downtown West,07,13,2017,YES,1,1
37733,Near - North,07,13,2017,YES,4,1
37734,Near - North,07,13,2017,YES,4,1
37739,Whittier,07,13,2017,YES,5,1
37758,Downtown West,07,13,2017,YES,1,1
37775,Steven's Square - Loring Heights,07,13,2017,YES,5,1
37796,Elliot Park,07,14,2017,YES,1,1
37804,Holland,07,14,2017,YES,2,1
37819,Willard - Hay,07,14,2017,YES,4,1
37820,Nicollet Island - East Bank,07,14,2017,YES,2,1
37828,Marcy Holmes,07,14,2017,YES,2,1
37829,Whittier,07,14,2017,YES,5,1
37834,Hawthorne,07,14,2017,YES,4,1
37840,Marcy Holmes,07,14,2017,YES,2,1
37844,Tangletown,07,14,2017,YES,5,1
37848,Marcy Holmes,07,14,2017,YES,2,1
37850,Nicollet Island - East Bank,07,14,2017,YES,2,1
37855,Nicollet Island - East Bank,07,14,2017,YES,2,1
37860,Nicollet Island - East Bank,07,14,2017,YES,2,1
37864,Nicollet Island - East Bank,07,14,2017,YES,2,1
37865,Nicollet Island - East Bank,07,14,2017,YES,2,1
37868,Victory,07,14,2017,YES,4,1
37871,Victory,07,14,2017,YES,4,1
37877,North Loop,07,14,2017,YES,1,1
37878,North Loop,07,14,2017,YES,1,1
37879,North Loop,07,14,2017,YES,1,1
37881,North Loop,07,14,2017,YES,1,1
37882,North Loop,07,14,2017,YES,1,1
37883,North Loop,07,14,2017,YES,1,1
37892,Jordan,07,14,2017,YES,4,1
37919,East Isles,07,14,2017,YES,5,1
37926,Whittier,07,14,2017,YES,5,1
37927,Whittier,07,14,2017,YES,5,1
37930,Longfellow,07,14,2017,YES,3,1
37936,East Isles,07,14,2017,YES,5,1
37943,Lowry Hill East,07,14,2017,YES,5,1
37945,Central,07,14,2017,YES,3,1
37955,Hiawatha,07,14,2017,YES,3,1
37958,Windom,07,14,2017,YES,5,1
37959,Howe,07,14,2017,YES,3,1
37970,Holland,07,14,2017,YES,2,1
37979,Marcy Holmes,07,14,2017,YES,2,1
37982,Nicollet Island - East Bank,07,14,2017,YES,2,1
37984,Downtown West,07,14,2017,YES,1,1
37990,North Loop,07,15,2017,YES,1,1
37999,Logan Park,07,15,2017,YES,2,1
38003,Downtown West,07,15,2017,YES,1,1
38010,Near - North,07,15,2017,YES,4,1
38050,Audubon Park,07,15,2017,YES,2,1
38055,Willard - Hay,07,15,2017,YES,4,1
38056,Webber - Camden,07,15,2017,YES,4,1
38084,Folwell,07,15,2017,YES,4,1
38085,Hawthorne,07,15,2017,YES,4,1
38089,Lind - Bohanon,07,15,2017,YES,4,1
38090,Bottineau,07,15,2017,YES,2,1
38091,St. Anthony East,07,15,2017,YES,2,1
38099,Marcy Holmes,07,15,2017,YES,2,1
38105,Marcy Holmes,07,15,2017,YES,2,1
38113,Downtown West,07,15,2017,YES,1,1
38130,Hale,07,16,2017,YES,3,1
38156,Lyndale,07,16,2017,YES,5,1
38161,Como,07,16,2017,YES,2,1
38162,Marshall Terrace,07,16,2017,YES,2,1
38179,Beltrami,07,16,2017,YES,2,1
38224,Sumner - Glenwood,07,17,2017,YES,4,1
38227,Nicollet Island - East Bank,07,17,2017,YES,2,1
38240,Downtown West,07,17,2017,YES,1,1
38254,Lyndale,07,17,2017,YES,5,1
38275,Jordan,07,17,2017,YES,4,1
38278,Willard - Hay,07,17,2017,YES,4,1
38286,McKinley,07,17,2017,YES,4,1
38291,Jordan,07,17,2017,YES,4,1
38292,Near - North,07,17,2017,YES,4,1
38305,Downtown West,07,17,2017,YES,1,1
38307,Near - North,07,17,2017,YES,4,1
38318,Marcy Holmes,07,17,2017,YES,2,1
38321,Willard - Hay,07,17,2017,YES,4,1
38332,Near - North,07,17,2017,YES,4,1
38341,Folwell,07,17,2017,YES,4,1
38358,Whittier,07,18,2017,YES,5,1
38374,Willard - Hay,07,18,2017,YES,4,1
38379,Willard - Hay,07,18,2017,YES,4,1
38382,Willard - Hay,07,18,2017,YES,4,1
38397,Jordan,07,18,2017,YES,4,1
38400,Jordan,07,18,2017,YES,4,1
38405,Near - North,07,18,2017,YES,4,1
38417,Jordan,07,18,2017,YES,4,1
38435,Cedar Riverside,07,18,2017,YES,1,1
38450,Near - North,07,18,2017,YES,4,1
38457,Near - North,07,18,2017,YES,4,1
38461,Columbia Park,07,18,2017,YES,2,1
38480,Downtown West,07,18,2017,YES,1,1
38481,Downtown West,07,18,2017,YES,1,1
38484,Downtown West,07,18,2017,YES,1,1
38487,Near - North,07,18,2017,YES,4,1
38493,Jordan,07,18,2017,YES,4,1
38508,Phillips West,07,18,2017,YES,3,1
38512,Holland,07,18,2017,YES,2,1
38538,Kenwood,07,19,2017,YES,5,1
38541,Como,07,19,2017,YES,2,1
38562,Tangletown,07,19,2017,YES,5,1
38566,Nicollet Island - East Bank,07,19,2017,YES,2,1
38567,Nicollet Island - East Bank,07,19,2017,YES,2,1
38568,Nicollet Island - East Bank,07,19,2017,YES,2,1
38570,Nicollet Island - East Bank,07,19,2017,YES,2,1
38571,Nicollet Island - East Bank,07,19,2017,YES,2,1
38573,Nicollet Island - East Bank,07,19,2017,YES,2,1
38576,Marcy Holmes,07,19,2017,YES,2,1
38579,Nicollet Island - East Bank,07,19,2017,YES,2,1
38583,Nicollet Island - East Bank,07,19,2017,YES,2,1
38584,Marcy Holmes,07,19,2017,YES,2,1
38586,Nicollet Island - East Bank,07,19,2017,YES,2,1
38590,Marcy Holmes,07,19,2017,YES,2,1
38592,Marcy Holmes,07,19,2017,YES,2,1
38593,Nicollet Island - East Bank,07,19,2017,YES,2,1
38598,Prospect Park - East River Road,07,19,2017,YES,2,1
38602,Nicollet Island - East Bank,07,19,2017,YES,2,1
38604,Cedar Riverside,07,19,2017,YES,1,1
38605,Nicollet Island - East Bank,07,19,2017,YES,2,1
38609,Prospect Park - East River Road,07,19,2017,YES,2,1
38615,Nicollet Island - East Bank,07,19,2017,YES,2,1
38617,Prospect Park - East River Road,07,19,2017,YES,2,1
38619,Nicollet Island - East Bank,07,19,2017,YES,2,1
38622,Marcy Holmes,07,19,2017,YES,2,1
38623,Nicollet Island - East Bank,07,19,2017,YES,2,1
38624,Sheridan,07,19,2017,YES,2,1
38625,Nicollet Island - East Bank,07,19,2017,YES,2,1
38627,Nicollet Island - East Bank,07,19,2017,YES,2,1
38628,Holland,07,19,2017,YES,2,1
38629,Near - North,07,19,2017,YES,4,1
38634,Audubon Park,07,19,2017,YES,2,1
38636,Mid - City Industrial,07,19,2017,YES,2,1
38639,North Loop,07,19,2017,YES,1,1
38641,Windom Park,07,19,2017,YES,2,1
38643,North Loop,07,19,2017,YES,1,1
38645,Longfellow,07,19,2017,YES,3,1
38648,Longfellow,07,19,2017,YES,3,1
38650,Near - North,07,19,2017,YES,4,1
38655,Near - North,07,19,2017,YES,4,1
38658,Hawthorne,07,19,2017,YES,4,1
38670,Downtown West,07,19,2017,YES,1,1
38672,North Loop,07,19,2017,YES,1,1
38681,Nicollet Island - East Bank,07,19,2017,YES,2,1
38684,Nicollet Island - East Bank,07,19,2017,YES,2,1
38686,Hawthorne,07,19,2017,YES,4,1
38690,Webber - Camden,07,19,2017,YES,4,1
38691,Nicollet Island - East Bank,07,19,2017,YES,2,1
38697,Standish,07,19,2017,YES,3,1
38699,Seward,07,19,2017,YES,3,1
38701,Hiawatha,07,19,2017,YES,3,1
38703,Midtown Phillips,07,19,2017,YES,3,1
38705,Phillips West,07,19,2017,YES,3,1
38706,Phillips West,07,19,2017,YES,3,1
38710,Lowry Hill East,07,19,2017,YES,5,1
38714,Downtown West,07,19,2017,YES,1,1
38718,Logan Park,07,19,2017,YES,2,1
38720,Sheridan,07,19,2017,YES,2,1
38721,Lyndale,07,19,2017,YES,5,1
38723,Lyndale,07,19,2017,YES,5,1
38726,St. Anthony West,07,19,2017,YES,2,1
38727,Webber - Camden,07,19,2017,YES,4,1
38731,Near - North,07,20,2017,YES,4,1
38748,Elliot Park,07,20,2017,YES,1,1
38756,Nicollet Island - East Bank,07,20,2017,YES,2,1
38759,Nicollet Island - East Bank,07,20,2017,YES,2,1
38761,Nicollet Island - East Bank,07,20,2017,YES,2,1
38762,Nicollet Island - East Bank,07,20,2017,YES,2,1
38763,Nicollet Island - East Bank,07,20,2017,YES,2,1
38764,Nicollet Island - East Bank,07,20,2017,YES,2,1
38765,Nicollet Island - East Bank,07,20,2017,YES,2,1
38766,Nicollet Island - East Bank,07,20,2017,YES,2,1
38767,Nicollet Island - East Bank,07,20,2017,YES,2,1
38768,Nicollet Island - East Bank,07,20,2017,YES,2,1
38770,Nicollet Island - East Bank,07,20,2017,YES,2,1
38772,Nicollet Island - East Bank,07,20,2017,YES,2,1
38775,Whittier,07,20,2017,YES,5,1
38777,Waite Park,07,20,2017,YES,2,1
38779,Marcy Holmes,07,20,2017,YES,2,1
38780,Waite Park,07,20,2017,YES,2,1
38781,Waite Park,07,20,2017,YES,2,1
38786,Nicollet Island - East Bank,07,20,2017,YES,2,1
38789,Nicollet Island - East Bank,07,20,2017,YES,2,1
38791,Near - North,07,20,2017,YES,4,1
38792,Willard - Hay,07,20,2017,YES,4,1
38797,Nicollet Island - East Bank,07,20,2017,YES,2,1
38802,Nicollet Island - East Bank,07,20,2017,YES,2,1
38804,Nicollet Island - East Bank,07,20,2017,YES,2,1
38825,Near - North,07,20,2017,YES,4,1
38829,Near - North,07,20,2017,YES,4,1
38831,Whittier,07,20,2017,YES,5,1
38842,Lyndale,07,20,2017,YES,5,1
38928,Nicollet Island - East Bank,07,21,2017,YES,2,1
38929,Nicollet Island - East Bank,07,21,2017,YES,2,1
38931,Nicollet Island - East Bank,07,21,2017,YES,2,1
38932,Nicollet Island - East Bank,07,21,2017,YES,2,1
38935,Nicollet Island - East Bank,07,21,2017,YES,2,1
38938,Nicollet Island - East Bank,07,21,2017,YES,2,1
38940,Nicollet Island - East Bank,07,21,2017,YES,2,1
38941,Nicollet Island - East Bank,07,21,2017,YES,2,1
38942,Nicollet Island - East Bank,07,21,2017,YES,2,1
38944,Nicollet Island - East Bank,07,21,2017,YES,2,1
38945,Nicollet Island - East Bank,07,21,2017,YES,2,1
38946,Nicollet Island - East Bank,07,21,2017,YES,2,1
38948,Nicollet Island - East Bank,07,21,2017,YES,2,1
38949,Nicollet Island - East Bank,07,21,2017,YES,2,1
38952,Nicollet Island - East Bank,07,21,2017,YES,2,1
38953,Nicollet Island - East Bank,07,21,2017,YES,2,1
38957,Nicollet Island - East Bank,07,21,2017,YES,2,1
38958,Nicollet Island - East Bank,07,21,2017,YES,2,1
38959,Nicollet Island - East Bank,07,21,2017,YES,2,1
38960,Downtown West,07,21,2017,YES,1,1
38963,Nicollet Island - East Bank,07,21,2017,YES,2,1
38966,Nicollet Island - East Bank,07,21,2017,YES,2,1
38975,Jordan,07,21,2017,YES,4,1
38978,Lyndale,07,21,2017,YES,5,1
38979,Jordan,07,21,2017,YES,4,1
38984,Nicollet Island - East Bank,07,21,2017,YES,2,1
38986,Downtown West,07,21,2017,YES,1,1
38988,Nicollet Island - East Bank,07,21,2017,YES,2,1
38989,Cedar Riverside,07,21,2017,YES,1,1
38990,Nicollet Island - East Bank,07,21,2017,YES,2,1
38992,Jordan,07,21,2017,YES,4,1
38997,Nicollet Island - East Bank,07,21,2017,YES,2,1
38999,Nicollet Island - East Bank,07,21,2017,YES,2,1
39001,Nicollet Island - East Bank,07,21,2017,YES,2,1
39002,University of Minnesota,07,21,2017,YES,2,1
39004,Marcy Holmes,07,21,2017,YES,2,1
39007,Nicollet Island - East Bank,07,21,2017,YES,2,1
39010,Marcy Holmes,07,21,2017,YES,2,1
39017,Nicollet Island - East Bank,07,21,2017,YES,2,1
39020,Marcy Holmes,07,21,2017,YES,2,1
39021,Ventura Village,07,21,2017,YES,3,1
39027,Nicollet Island - East Bank,07,21,2017,YES,2,1
39028,Nicollet Island - East Bank,07,21,2017,YES,2,1
39029,Cedar Riverside,07,21,2017,YES,1,1
39030,Como,07,21,2017,YES,2,1
39033,Nicollet Island - East Bank,07,21,2017,YES,2,1
39034,Como,07,21,2017,YES,2,1
39035,Nicollet Island - East Bank,07,21,2017,YES,2,1
39039,Como,07,21,2017,YES,2,1
39041,Como,07,21,2017,YES,2,1
39045,Mid - City Industrial,07,21,2017,YES,2,1
39048,Beltrami,07,21,2017,YES,2,1
39049,Ventura Village,07,21,2017,YES,3,1
39056,Near - North,07,21,2017,YES,4,1
39059,Near - North,07,21,2017,YES,4,1
39062,Powderhorn Park,07,21,2017,YES,3,1
39067,Lowry Hill East,07,21,2017,YES,5,1
39070,Lowry Hill East,07,21,2017,YES,5,1
39071,Lyndale,07,21,2017,YES,5,1
39076,Lyndale,07,21,2017,YES,5,1
39086,Bancroft,07,21,2017,YES,3,1
39087,Downtown West,07,21,2017,YES,1,1
39088,Howe,07,21,2017,YES,3,1
39090,Howe,07,21,2017,YES,3,1
39092,Howe,07,21,2017,YES,3,1
39104,Longfellow,07,21,2017,YES,3,1
39107,Central,07,21,2017,YES,3,1
39118,Downtown West,07,21,2017,YES,1,1
39120,Downtown West,07,21,2017,YES,1,1
39127,St. Anthony West,07,22,2017,YES,2,1
39129,Near - North,07,22,2017,YES,4,1
39132,Hawthorne,07,22,2017,YES,4,1
39133,North Loop,07,22,2017,YES,1,1
39134,Downtown West,07,22,2017,YES,1,1
39136,Nicollet Island - East Bank,07,22,2017,YES,2,1
39138,Marcy Holmes,07,22,2017,YES,2,1
39139,Nicollet Island - East Bank,07,22,2017,YES,2,1
39192,Whittier,07,22,2017,YES,5,1
39197,Whittier,07,22,2017,YES,5,1
39200,Whittier,07,22,2017,YES,5,1
39216,East Isles,07,22,2017,YES,5,1
39220,Bryn - Mawr,07,22,2017,YES,4,1
39222,Marcy Holmes,07,22,2017,YES,2,1
39231,Cedar Riverside,07,22,2017,YES,1,1
39236,Sheridan,07,22,2017,YES,2,1
39243,Marshall Terrace,07,22,2017,YES,2,1
39246,Hawthorne,07,22,2017,YES,4,1
39255,North Loop,07,22,2017,YES,1,1
39257,Beltrami,07,23,2017,YES,2,1
39260,Steven's Square - Loring Heights,07,23,2017,YES,5,1
39265,Nicollet Island - East Bank,07,23,2017,YES,2,1
39272,St. Anthony East,07,23,2017,YES,2,1
39304,Cedar Riverside,07,23,2017,YES,1,1
39306,Marcy Holmes,07,23,2017,YES,2,1
39307,Marcy Holmes,07,23,2017,YES,2,1
39309,Como,07,23,2017,YES,2,1
39311,Como,07,23,2017,YES,2,1
39313,Mid - City Industrial,07,23,2017,YES,2,1
39314,Mid - City Industrial,07,23,2017,YES,2,1
39317,Nicollet Island - East Bank,07,23,2017,YES,2,1
39318,Windom Park,07,23,2017,YES,2,1
39321,Logan Park,07,23,2017,YES,2,1
39325,Windom Park,07,23,2017,YES,2,1
39326,Audubon Park,07,23,2017,YES,2,1
39328,Waite Park,07,23,2017,YES,2,1
39329,Audubon Park,07,23,2017,YES,2,1
39332,Audubon Park,07,23,2017,YES,2,1
39334,Marcy Holmes,07,23,2017,YES,2,1
39342,East Phillips,07,23,2017,YES,3,1
39343,Hawthorne,07,23,2017,YES,4,1
39353,Whittier,07,23,2017,YES,5,1
39360,Marcy Holmes,07,23,2017,YES,2,1
39366,Prospect Park - East River Road,07,23,2017,YES,2,1
39433,Jordan,07,24,2017,YES,4,1
39437,Unknown,07,24,2017,YES,,1
39454,Whittier,07,24,2017,YES,5,1
39482,East Isles,07,24,2017,YES,5,1
39485,Standish,07,24,2017,YES,3,1
39491,McKinley,07,24,2017,YES,4,1
39494,Howe,07,24,2017,YES,3,1
39496,Longfellow,07,24,2017,YES,3,1
39499,Cooper,07,24,2017,YES,3,1
39501,Longfellow,07,24,2017,YES,3,1
39504,Downtown West,07,24,2017,YES,1,1
39510,East Phillips,07,24,2017,YES,3,1
39515,Mid - City Industrial,07,24,2017,YES,2,1
39520,Jordan,07,25,2017,YES,4,1
39521,Beltrami,07,25,2017,YES,2,1
39530,Downtown West,07,25,2017,YES,1,1
39542,Whittier,07,25,2017,YES,5,1
39560,Downtown West,07,25,2017,YES,1,1
39565,Downtown West,07,25,2017,YES,1,1
39585,Folwell,07,25,2017,YES,4,1
39600,King Field,07,25,2017,YES,5,1
39605,Camden Industrial,07,25,2017,YES,4,1
39620,Ventura Village,07,25,2017,YES,3,1
39669,Lowry Hill East,07,25,2017,YES,5,1
39671,Marshall Terrace,07,25,2017,YES,2,1
39673,East Isles,07,26,2017,YES,5,1
39674,Lyndale,07,26,2017,YES,5,1
39698,Whittier,07,26,2017,YES,5,1
39701,Lyndale,07,26,2017,YES,5,1
39727,Hawthorne,07,26,2017,YES,4,1
39732,Steven's Square - Loring Heights,07,26,2017,YES,5,1
39740,Sumner - Glenwood,07,26,2017,YES,4,1
39741,Sumner - Glenwood,07,26,2017,YES,4,1
39743,Near - North,07,26,2017,YES,4,1
39744,Near - North,07,26,2017,YES,4,1
39754,CARAG,07,26,2017,YES,5,1
39756,Phillips West,07,26,2017,YES,3,1
39762,Como,07,26,2017,YES,2,1
39763,Como,07,26,2017,YES,2,1
39769,Prospect Park - East River Road,07,26,2017,YES,2,1
39772,Lyndale,07,26,2017,YES,5,1
39773,Cooper,07,26,2017,YES,3,1
39776,Longfellow,07,26,2017,YES,3,1
39777,Longfellow,07,26,2017,YES,3,1
39779,East Phillips,07,26,2017,YES,3,1
39782,Lowry Hill East,07,26,2017,YES,5,1
39787,Hiawatha,07,26,2017,YES,3,1
39792,Downtown West,07,26,2017,YES,1,1
39794,Downtown West,07,27,2017,YES,1,1
39798,Near - North,07,27,2017,YES,4,1
39802,Marcy Holmes,07,27,2017,YES,2,1
39805,North Loop,07,27,2017,YES,1,1
39808,Downtown West,07,27,2017,YES,1,1
39810,Nicollet Island - East Bank,07,27,2017,YES,2,1
39813,St. Anthony West,07,27,2017,YES,2,1
39821,Phillips West,07,27,2017,YES,3,1
39826,Unknown,07,27,2017,YES,,1
39848,Downtown West,07,27,2017,YES,1,1
39898,Jordan,07,27,2017,YES,4,1
39903,Lyndale,07,27,2017,YES,5,1
39924,Sheridan,07,27,2017,YES,2,1
39956,East Isles,07,27,2017,YES,5,1
40000,Ventura Village,07,28,2017,YES,3,1
40003,Hawthorne,07,28,2017,YES,4,1
40008,McKinley,07,28,2017,YES,4,1
40080,Loring Park,07,28,2017,YES,1,1
40084,Como,07,28,2017,YES,2,1
40091,Corcoran,07,28,2017,YES,3,1
40102,Longfellow,07,28,2017,YES,3,1
40106,Nicollet Island - East Bank,07,28,2017,YES,2,1
40111,St. Anthony West,07,28,2017,YES,2,1
40130,Hawthorne,07,29,2017,YES,4,1
40132,Unknown,07,29,2017,YES,,1
40146,Lind - Bohanon,07,29,2017,YES,4,1
40153,Lyndale,07,29,2017,YES,5,1
40180,Jordan,07,29,2017,YES,4,1
40186,Northrop,07,29,2017,YES,3,1
40205,Longfellow,07,29,2017,YES,3,1
40209,Hawthorne,07,29,2017,YES,4,1
40245,Downtown West,07,30,2017,YES,1,1
40261,Holland,07,30,2017,YES,2,1
40300,McKinley,07,30,2017,YES,4,1
40306,North Loop,07,30,2017,YES,1,1
40307,Downtown West,07,30,2017,YES,1,1
40317,Loring Park,07,30,2017,YES,1,1
40318,Corcoran,07,30,2017,YES,3,1
40321,East Phillips,07,30,2017,YES,3,1
40325,Whittier,07,30,2017,YES,5,1
40328,Steven's Square - Loring Heights,07,30,2017,YES,5,1
40332,Seward,07,30,2017,YES,3,1
40342,Beltrami,07,30,2017,YES,2,1
40344,Lyndale,07,30,2017,YES,5,1
40346,Nicollet Island - East Bank,07,30,2017,YES,2,1
40349,Downtown West,07,31,2017,YES,1,1
40350,North Loop,07,31,2017,YES,1,1
40352,North Loop,07,31,2017,YES,1,1
40356,North Loop,07,31,2017,YES,1,1
40364,East Phillips,07,31,2017,YES,3,1
40365,Longfellow,07,31,2017,YES,3,1
40367,Lowry Hill East,07,31,2017,YES,5,1
40370,Whittier,07,31,2017,YES,5,1
40384,Lyndale,07,31,2017,YES,5,1
40402,Folwell,07,31,2017,YES,4,1
40421,Jordan,07,31,2017,YES,4,1
40428,Jordan,07,31,2017,YES,4,1
40429,Whittier,07,31,2017,YES,5,1
40430,Folwell,07,31,2017,YES,4,1
40437,Cedar Riverside,07,31,2017,YES,1,1
40440,Corcoran,07,31,2017,YES,3,1
40441,Steven's Square - Loring Heights,07,31,2017,YES,5,1
40451,Folwell,07,31,2017,YES,4,1
40466,Near - North,07,31,2017,YES,4,1
40467,Willard - Hay,07,31,2017,YES,4,1
40473,Logan Park,07,31,2017,YES,2,1
40489,Cedar - Isles - Dean,07,31,2017,YES,5,1
40491,Downtown West,07,31,2017,YES,1,1
40534,Central,08,01,2017,YES,3,1
40539,Downtown West,08,01,2017,YES,1,1
40547,Lowry Hill East,08,01,2017,YES,5,1
40557,Jordan,08,01,2017,YES,4,1
40566,McKinley,08,01,2017,YES,4,1
40570,Whittier,08,01,2017,YES,5,1
40582,Windom,08,01,2017,YES,5,1
40608,East Phillips,08,01,2017,YES,3,1
40609,Steven's Square - Loring Heights,08,01,2017,YES,5,1
40611,Downtown West,08,01,2017,YES,1,1
40614,Whittier,08,01,2017,YES,5,1
40645,Whittier,08,02,2017,YES,5,1
40660,Willard - Hay,08,02,2017,YES,4,1
40674,Whittier,08,02,2017,YES,5,1
40689,Downtown West,08,02,2017,YES,1,1
40713,Steven's Square - Loring Heights,08,02,2017,YES,5,1
40721,Downtown West,08,02,2017,YES,1,1
40727,ECCO,08,02,2017,YES,5,1
40730,Jordan,08,02,2017,YES,4,1
40738,Hawthorne,08,02,2017,YES,4,1
40740,Lowry Hill East,08,02,2017,YES,5,1
40744,CARAG,08,02,2017,YES,5,1
40746,Lind - Bohanon,08,02,2017,YES,4,1
40752,Phillips West,08,02,2017,YES,3,1
40755,Midtown Phillips,08,02,2017,YES,3,1
40761,Howe,08,02,2017,YES,3,1
40763,Downtown West,08,02,2017,YES,1,1
40766,Marcy Holmes,08,02,2017,YES,2,1
40769,Como,08,02,2017,YES,2,1
40770,Como,08,02,2017,YES,2,1
40775,Marcy Holmes,08,02,2017,YES,2,1
40790,Camden Industrial,08,03,2017,YES,4,1
40792,CARAG,08,03,2017,YES,5,1
40795,Downtown West,08,03,2017,YES,1,1
