OBJECTID,responseDate,citationIssued,lat,lon,gender,neighborhood,responseDow,responseDay,responseMonth,responseMonthName,responseYear
60867,2018-01-01 14:48:32.000000,NO,44.98934379999999,-93.251508,Male,Marcy Holmes,1,01,01,Jan,2018
60868,2018-01-01 15:41:26.000000,NO,44.948370000000004,-93.25378,Male,Powderhorn Park,1,01,01,Jan,2018
60869,2018-01-01 15:46:37.000000,NO,44.948370000000004,-93.24231,Male,Corcoran,1,01,01,Jan,2018
60870,2018-01-01 16:02:34.000000,NO,44.94835457,-93.28218485,Male,Lyndale,1,01,01,Jan,2018
60871,2018-01-01 16:02:41.000000,NO,44.95823095,-93.25876543,Female,Midtown Phillips,1,01,01,Jan,2018
60872,2018-01-01 16:03:38.000000,NO,44.96001945,-93.25965944,Male,Ventura Village,1,01,01,Jan,2018
60874,2018-01-01 16:11:34.000000,NO,44.94835457,-93.28218485,Female,Lyndale,1,01,01,Jan,2018
60875,2018-01-01 16:21:27.000000,NO,44.93428,-93.21149,Other,Howe,1,01,01,Jan,2018
60877,2018-01-01 16:31:56.000000,NO,44.94750633,-93.27284516,Male,Central,1,01,01,Jan,2018
60879,2018-01-01 17:08:25.000000,NO,45.00035726,-93.26308786,Male,Sheridan,1,01,01,Jan,2018
60881,2018-01-01 17:45:43.000000,NO,44.9377,-93.2933,Male,CARAG,1,01,01,Jan,2018
60882,2018-01-01 17:50:46.000000,NO,44.967240000000004,-93.27646,Male,Loring Park,1,01,01,Jan,2018
60883,2018-01-01 18:31:49.000000,NO,44.98166104,-93.27080641,Other,Downtown West,1,01,01,Jan,2018
60884,2018-01-01 19:27:05.000000,NO,44.98705595,-93.25524238,Male,Nicollet Island - East Bank,1,01,01,Jan,2018
60885,2018-01-01 19:47:20.000000,NO,44.97641824,-93.26339981,Male,Downtown West,1,01,01,Jan,2018
60886,2018-01-01 19:55:33.000000,NO,44.97801922,-93.27702537,Male,Downtown West,1,01,01,Jan,2018
60887,2018-01-01 20:15:47.000000,YES,44.97802,-93.27703000000001,Male,Downtown West,1,01,01,Jan,2018
60888,2018-01-01 22:10:57.000000,NO,45.01595006,-93.30825147,Male,Folwell,1,01,01,Jan,2018
60890,2018-01-02 00:59:12.000000,NO,45.023999999999994,-93.29811,Female,Folwell,2,02,01,Jan,2018
60891,2018-01-02 01:27:02.000000,NO,45.04637421,-93.29988112,Other,Shingle Creek,2,02,01,Jan,2018
60893,2018-01-02 01:37:20.000000,NO,45.00229,-93.24734000000001,Male,Logan Park,2,02,01,Jan,2018
60894,2018-01-02 02:13:19.000000,NO,44.92961205,-93.23846659,Other,Standish,2,02,01,Jan,2018
60895,2018-01-02 02:20:58.000000,NO,44.92151,-93.2524,Other,Northrop,2,02,01,Jan,2018
60896,2018-01-02 02:21:42.000000,NO,44.89701753,-93.26154761,Male,Diamond Lake,2,02,01,Jan,2018
60897,2018-01-02 02:32:10.000000,YES,44.94836,-93.28135,Male,Whittier,2,02,01,Jan,2018
60898,2018-01-02 02:37:48.000000,NO,45.01944202,-93.29307047,Male,Folwell,2,02,01,Jan,2018
60899,2018-01-02 03:17:47.000000,YES,45.0131064,-93.27839183,Male,Hawthorne,2,02,01,Jan,2018
60901,2018-01-02 03:32:59.000000,YES,44.973620000000004,-93.26760999999999,Male,Downtown West,2,02,01,Jan,2018
60902,2018-01-02 03:50:58.000000,NO,44.99833279,-93.26332955,Other,St. Anthony West,2,02,01,Jan,2018
60903,2018-01-02 03:52:53.000000,NO,44.99833279,-93.26332955,Other,St. Anthony West,2,02,01,Jan,2018
60904,2018-01-02 03:57:39.000000,YES,45.01211604,-93.27010541,Female,Bottineau,2,02,01,Jan,2018
60905,2018-01-02 04:21:23.000000,YES,44.9592,-93.27149,Female,Whittier,2,02,01,Jan,2018
60907,2018-01-02 05:03:07.000000,NO,44.92964973,-93.26754626,Male,Bryant,2,02,01,Jan,2018
60908,2018-01-02 05:23:03.000000,NO,44.9287,-93.31883,Female,Linden Hills,2,02,01,Jan,2018
60909,2018-01-02 05:27:56.000000,NO,45.03334,-93.29705,Other,Webber - Camden,2,02,01,Jan,2018
60911,2018-01-02 06:00:19.000000,NO,44.962709999999994,-93.29052,Male,Lowry Hill East,2,02,01,Jan,2018
60913,2018-01-02 06:26:44.000000,YES,44.96332221,-93.27148389,Other,Steven's Square - Loring Heights,2,02,01,Jan,2018
60914,2018-01-02 06:27:30.000000,NO,44.90624738,-93.23229070000001,Female,Keewaydin,2,02,01,Jan,2018
60916,2018-01-02 07:18:59.000000,YES,44.951343200000004,-93.27966979,Male,Whittier,2,02,01,Jan,2018
60917,2018-01-02 07:34:11.000000,YES,45.01685,-93.30825,Male,Folwell,2,02,01,Jan,2018
60918,2018-01-02 07:44:15.000000,NO,45.01398311,-93.28493554,Other,McKinley,2,02,01,Jan,2018
60919,2018-01-02 08:10:14.000000,YES,44.95732,-93.27786,Male,Whittier,2,02,01,Jan,2018
60920,2018-01-02 08:10:37.000000,NO,45.01316,-93.26619000000001,Male,Bottineau,2,02,01,Jan,2018
60921,2018-01-02 09:30:27.000000,NO,44.95912146,-93.26119098,Female,Midtown Phillips,2,02,01,Jan,2018
60922,2018-01-02 09:44:29.000000,NO,44.92960015,-93.22831021,Other,Standish,2,02,01,Jan,2018
60923,2018-01-02 09:50:00.000000,YES,44.94836,-93.27792,Male,Lyndale,2,02,01,Jan,2018
60924,2018-01-02 09:51:22.000000,YES,44.94835,-93.27538,Male,Whittier,2,02,01,Jan,2018
60925,2018-01-02 10:03:39.000000,NO,44.95912104,-93.26055709,Male,Midtown Phillips,2,02,01,Jan,2018
60926,2018-01-02 10:05:59.000000,YES,44.99522,-93.3057,Female,Willard - Hay,2,02,01,Jan,2018
60927,2018-01-02 10:17:20.000000,NO,44.99059751,-93.30446639,Male,Near - North,2,02,01,Jan,2018
60929,2018-01-02 10:57:01.000000,NO,44.95196,-93.24739,Female,East Phillips,2,02,01,Jan,2018
60930,2018-01-02 11:10:50.000000,NO,44.9642,-93.27933,Male,Steven's Square - Loring Heights,2,02,01,Jan,2018
60932,2018-01-02 11:46:09.000000,YES,44.94836,-93.29191,Male,CARAG,2,02,01,Jan,2018
60933,2018-01-02 11:50:34.000000,NO,44.95196,-93.2868,Female,Whittier,2,02,01,Jan,2018
60934,2018-01-02 11:56:26.000000,NO,44.94925921,-93.29954633,Male,East Isles,2,02,01,Jan,2018
60935,2018-01-02 11:57:25.000000,NO,44.94579493,-93.27793241,Female,Lyndale,2,02,01,Jan,2018
60936,2018-01-02 12:02:14.000000,NO,44.95599844,-93.24735604,Male,East Phillips,2,02,01,Jan,2018
60937,2018-01-02 12:05:44.000000,NO,44.9492583,-93.29763862,Female,Lowry Hill East,2,02,01,Jan,2018
60938,2018-01-02 12:11:54.000000,NO,45.02408,-93.30705,Female,Folwell,2,02,01,Jan,2018
60939,2018-01-02 12:12:41.000000,NO,44.955549299999994,-93.24304275,Female,Longfellow,2,02,01,Jan,2018
60940,2018-01-02 12:25:03.000000,NO,45.00482,-93.29564,Male,Jordan,2,02,01,Jan,2018
60941,2018-01-02 12:26:14.000000,NO,44.94659121,-93.29766531,Male,CARAG,2,02,01,Jan,2018
60942,2018-01-02 12:28:14.000000,NO,44.90162,-93.31882,Other,Armatage,2,02,01,Jan,2018
60943,2018-01-02 12:35:38.000000,NO,44.97535,-93.2717,Other,Downtown West,2,02,01,Jan,2018
60946,2018-01-02 12:43:20.000000,NO,45.03469665,-93.2472181,Female,Waite Park,2,02,01,Jan,2018
60947,2018-01-02 12:47:02.000000,NO,45.02304272,-93.29058037,Other,McKinley,2,02,01,Jan,2018
60948,2018-01-02 12:51:00.000000,NO,44.95646,-93.24735,Male,East Phillips,2,02,01,Jan,2018
60949,2018-01-02 12:55:35.000000,NO,45.00776,-93.29558,Male,Jordan,2,02,01,Jan,2018
60950,2018-01-02 12:56:51.000000,NO,44.98434889,-93.28861642,Female,Sumner - Glenwood,2,02,01,Jan,2018
60951,2018-01-02 13:14:43.000000,NO,45.02936,-93.28809,Male,Webber - Camden,2,02,01,Jan,2018
60953,2018-01-02 13:24:52.000000,NO,45.012170000000005,-93.26312,Male,Holland,2,02,01,Jan,2018
60954,2018-01-02 13:28:50.000000,NO,45.044815899999996,-93.2888854,Male,Lind - Bohanon,2,02,01,Jan,2018
60955,2018-01-02 13:35:19.000000,NO,44.94665979,-93.27729199,Female,Lyndale,2,02,01,Jan,2018
60956,2018-01-02 13:37:41.000000,NO,45.00241,-93.31203000000001,Male,Willard - Hay,2,02,01,Jan,2018
60957,2018-01-02 13:39:31.000000,NO,44.99913516,-93.28682309,Male,Near - North,2,02,01,Jan,2018
60958,2018-01-02 13:59:42.000000,NO,44.94836098,-93.2912807,Female,CARAG,2,02,01,Jan,2018
60959,2018-01-02 14:04:46.000000,NO,44.9474742,-93.29829195,Male,ECCO,2,02,01,Jan,2018
60961,2018-01-02 14:58:44.000000,NO,45.01586846,-93.24734023,Male,Audubon Park,2,02,01,Jan,2018
60962,2018-01-02 15:01:48.000000,NO,45.03671,-93.29012,Male,Lind - Bohanon,2,02,01,Jan,2018
60963,2018-01-02 15:26:38.000000,NO,44.95680675,-93.29584001,Male,Lowry Hill East,2,02,01,Jan,2018
60964,2018-01-02 15:35:29.000000,NO,44.98064465,-93.26722521,Male,Downtown West,2,02,01,Jan,2018
60965,2018-01-02 15:48:50.000000,NO,45.01,-93.2603,Other,Holland,2,02,01,Jan,2018
60966,2018-01-02 15:49:18.000000,NO,45.00424314,-93.28799072,Female,Hawthorne,2,02,01,Jan,2018
60967,2018-01-02 15:53:13.000000,NO,44.89426223,-93.27624922,Male,Windom,2,02,01,Jan,2018
60968,2018-01-02 15:55:23.000000,NO,44.96091,-93.28801,Male,Whittier,2,02,01,Jan,2018
60969,2018-01-02 16:20:08.000000,NO,44.99876965,-93.30885164,Female,Willard - Hay,2,02,01,Jan,2018
60970,2018-01-02 17:03:00.000000,NO,44.91926059,-93.27411869,Female,Field,2,02,01,Jan,2018
60971,2018-01-02 17:11:24.000000,NO,44.98417163,-93.27912748,Male,North Loop,2,02,01,Jan,2018
60972,2018-01-02 17:17:38.000000,NO,44.998709999999996,-93.25753,Male,Sheridan,2,02,01,Jan,2018
60974,2018-01-02 17:30:13.000000,YES,44.90715,-93.28553000000001,Female,Tangletown,2,02,01,Jan,2018
60975,2018-01-02 17:39:48.000000,NO,44.90886,-93.24734000000001,Female,Hale,2,02,01,Jan,2018
60976,2018-01-02 17:58:37.000000,YES,45.01858,-93.24727,Male,Audubon Park,2,02,01,Jan,2018
60977,2018-01-02 18:10:11.000000,YES,44.98037,-93.27374,Male,Downtown West,2,02,01,Jan,2018
60978,2018-01-02 18:12:29.000000,NO,45.00690356,-93.2631021,Male,Holland,2,02,01,Jan,2018
60980,2018-01-02 18:13:28.000000,NO,44.98431023,-93.27949587,Female,North Loop,2,02,01,Jan,2018
60981,2018-01-02 18:22:42.000000,NO,45.01586429,-93.29684921,Male,Folwell,2,02,01,Jan,2018
60982,2018-01-02 18:30:03.000000,NO,44.959109999999995,-93.27962,Male,Whittier,2,02,01,Jan,2018
60983,2018-01-02 18:34:06.000000,NO,45.00872087,-93.30695554,Male,Jordan,2,02,01,Jan,2018
60985,2018-01-02 18:40:47.000000,NO,45.01051886,-93.30569753,Male,Jordan,2,02,01,Jan,2018
60986,2018-01-02 18:44:27.000000,NO,44.964576799999996,-93.27021332,Male,Steven's Square - Loring Heights,2,02,01,Jan,2018
60987,2018-01-02 19:01:27.000000,NO,44.948370000000004,-93.28681999999999,Female,Whittier,2,02,01,Jan,2018
60988,2018-01-02 19:08:40.000000,NO,45.01316173,-93.25166879999999,Male,Holland,2,02,01,Jan,2018
60989,2018-01-02 19:11:55.000000,NO,45.02670433,-93.2956743,Female,Webber - Camden,2,02,01,Jan,2018
60990,2018-01-02 19:25:02.000000,NO,44.96090096,-93.2746523,Male,Whittier,2,02,01,Jan,2018
60991,2018-01-02 19:31:23.000000,NO,44.98172215,-93.27495568,Male,Downtown West,2,02,01,Jan,2018
60992,2018-01-02 19:34:34.000000,NO,45.00951,-93.28644,Male,Hawthorne,2,02,01,Jan,2018
60993,2018-01-02 19:47:00.000000,NO,44.96848995,-93.26892626,Male,Elliot Park,2,02,01,Jan,2018
60994,2018-01-02 20:07:40.000000,NO,44.9627,-93.28736811,Male,Whittier,2,02,01,Jan,2018
60996,2018-01-02 20:24:22.000000,NO,44.95463813,-93.28804768,Male,Whittier,2,02,01,Jan,2018
60997,2018-01-02 20:49:46.000000,NO,44.97694447,-93.27819736,Male,Downtown West,2,02,01,Jan,2018
60998,2018-01-02 21:14:35.000000,NO,44.935959999999994,-93.22522,Female,Howe,2,02,01,Jan,2018
60999,2018-01-02 21:20:09.000000,NO,44.92603188,-93.25238817,Male,Northrop,2,02,01,Jan,2018
61000,2018-01-02 21:31:21.000000,NO,44.8949328,-93.27810550000001,Female,Windom,2,02,01,Jan,2018
61003,2018-01-02 22:04:00.000000,NO,44.92958552,-93.27792165,Male,King Field,2,02,01,Jan,2018
61004,2018-01-02 22:37:53.000000,NO,45.000890000000005,-93.25754,Male,Logan Park,2,02,01,Jan,2018
61005,2018-01-02 22:46:59.000000,NO,44.999140000000004,-93.28799000000001,Male,Hawthorne,2,02,01,Jan,2018
61006,2018-01-02 23:35:02.000000,YES,44.998704499999995,-93.26240584,Female,St. Anthony West,2,02,01,Jan,2018
61007,2018-01-03 01:02:25.000000,NO,45.01314,-93.29307,Male,McKinley,3,03,01,Jan,2018
61008,2018-01-03 01:10:19.000000,NO,45.01296,-93.28641999999999,Male,McKinley,3,03,01,Jan,2018
61009,2018-01-03 01:18:44.000000,NO,45.02046,-93.30827,Male,Folwell,3,03,01,Jan,2018
61010,2018-01-03 01:27:12.000000,NO,45.01323,-93.31079,Female,Cleveland,3,03,01,Jan,2018
61011,2018-01-03 01:32:48.000000,NO,45.013220000000004,-93.30445,Male,Jordan,3,03,01,Jan,2018
61013,2018-01-03 01:41:58.000000,NO,45.02664866,-93.28807926,Female,Webber - Camden,3,03,01,Jan,2018
61014,2018-01-03 02:14:32.000000,NO,44.95507459,-93.30012144,Male,East Isles,3,03,01,Jan,2018
61015,2018-01-03 02:26:07.000000,NO,44.94926089,-93.21910892,Male,Longfellow,3,03,01,Jan,2018
61016,2018-01-03 02:33:48.000000,NO,44.95507459,-93.30012144,Male,East Isles,3,03,01,Jan,2018
61017,2018-01-03 03:10:00.000000,NO,45.01315891,-93.26949768,Male,Marshall Terrace,3,03,01,Jan,2018
61020,2018-01-03 04:12:01.000000,NO,45.01858,-93.24727,Male,Audubon Park,3,03,01,Jan,2018
61021,2018-01-03 04:25:47.000000,NO,44.94649477,-93.32270729999999,Male,West Calhoun,3,03,01,Jan,2018
61022,2018-01-03 04:44:34.000000,NO,44.95913,-93.24986,Female,East Phillips,3,03,01,Jan,2018
61024,2018-01-03 05:02:41.000000,NO,45.00512,-93.25247,Male,Logan Park,3,03,01,Jan,2018
61026,2018-01-03 06:46:47.000000,NO,45.01773799,-93.23328565,Male,Audubon Park,3,03,01,Jan,2018
61027,2018-01-03 07:07:38.000000,NO,44.94837153,-93.24132009999998,Male,East Phillips,3,03,01,Jan,2018
61028,2018-01-03 07:09:24.000000,YES,45.01316,-93.26619000000001,Female,Bottineau,3,03,01,Jan,2018
61029,2018-01-03 07:14:31.000000,NO,44.96272054,-93.25611556,Male,Ventura Village,3,03,01,Jan,2018
61030,2018-01-03 07:32:18.000000,NO,44.95734,-93.2524,Male,Midtown Phillips,3,03,01,Jan,2018
61031,2018-01-03 07:56:35.000000,NO,44.95081,-93.2766,Male,Whittier,3,03,01,Jan,2018
61032,2018-01-03 08:08:15.000000,NO,44.94383528,-93.24866837,Other,Powderhorn Park,3,03,01,Jan,2018
61033,2018-01-03 08:12:33.000000,NO,45.02957551,-93.29639779,Male,Webber - Camden,3,03,01,Jan,2018
61034,2018-01-03 08:15:26.000000,YES,44.98901,-93.25709,Male,Nicollet Island - East Bank,3,03,01,Jan,2018
61035,2018-01-03 09:07:07.000000,NO,44.96423846,-93.26890885,Other,Ventura Village,3,03,01,Jan,2018
61036,2018-01-03 09:19:01.000000,NO,45.02489278,-93.29565034,Female,Webber - Camden,3,03,01,Jan,2018
61037,2018-01-03 09:20:21.000000,NO,44.97563254,-93.27237593,Female,Downtown West,3,03,01,Jan,2018
61038,2018-01-03 09:38:28.000000,NO,44.95373636,-93.27723936,Male,Whittier,3,03,01,Jan,2018
61039,2018-01-03 09:42:28.000000,NO,44.94835935,-93.25949392,Male,Midtown Phillips,3,03,01,Jan,2018
61040,2018-01-03 09:45:14.000000,NO,44.91171867,-93.21645397,Male,Minnehaha,3,03,01,Jan,2018
61041,2018-01-03 09:51:15.000000,YES,44.94659,-93.2797,Male,Lyndale,3,03,01,Jan,2018
61042,2018-01-03 10:09:18.000000,NO,44.987759999999994,-93.25992,Female,Nicollet Island - East Bank,3,03,01,Jan,2018
61043,2018-01-03 10:18:59.000000,NO,45.01052688,-93.30696213,Other,Jordan,3,03,01,Jan,2018
61044,2018-01-03 10:52:26.000000,NO,44.98961,-93.29089,Male,Near - North,3,03,01,Jan,2018
61046,2018-01-03 11:02:32.000000,NO,44.96878674,-93.21683853,Other,Prospect Park - East River Road,3,03,01,Jan,2018
61048,2018-01-03 11:16:49.000000,NO,45.00058,-93.30821,Female,Willard - Hay,3,03,01,Jan,2018
61049,2018-01-03 12:00:34.000000,NO,45.01586846,-93.24734023,Male,Audubon Park,3,03,01,Jan,2018
61050,2018-01-03 12:09:05.000000,NO,44.98087,-93.30198,Female,Harrison,3,03,01,Jan,2018
61051,2018-01-03 12:12:19.000000,NO,45.00782,-93.29942,Male,Jordan,3,03,01,Jan,2018
61052,2018-01-03 12:51:14.000000,NO,45.012170000000005,-93.24911999999999,Male,Holland,3,03,01,Jan,2018
61053,2018-01-03 12:58:17.000000,NO,45.02218343,-93.24735182,Male,Audubon Park,3,03,01,Jan,2018
61054,2018-01-03 13:16:53.000000,NO,44.9868,-93.25483,Female,Marcy Holmes,3,03,01,Jan,2018
61055,2018-01-03 13:19:45.000000,NO,45.02393,-93.28806,Male,McKinley,3,03,01,Jan,2018
61056,2018-01-03 13:28:03.000000,YES,45.00387,-93.3082,Male,Jordan,3,03,01,Jan,2018
61057,2018-01-03 13:30:05.000000,NO,45.00716,-93.28493,Other,Hawthorne,3,03,01,Jan,2018
61058,2018-01-03 13:47:15.000000,NO,45.03439343,-93.29704572,Male,Webber - Camden,3,03,01,Jan,2018
61060,2018-01-03 14:13:49.000000,NO,44.97039183,-93.26108403,Male,Elliot Park,3,03,01,Jan,2018
61061,2018-01-03 14:14:38.000000,NO,45.01505,-93.31334,Male,Cleveland,3,03,01,Jan,2018
61062,2018-01-03 14:21:59.000000,NO,45.03334,-93.29705,Male,Webber - Camden,3,03,01,Jan,2018
61063,2018-01-03 14:24:48.000000,NO,45.032503000000005,-93.29322627,Other,Webber - Camden,3,03,01,Jan,2018
61064,2018-01-03 14:31:31.000000,NO,44.94566434,-93.29321676,Other,CARAG,3,03,01,Jan,2018
61065,2018-01-03 14:37:15.000000,NO,45.01313,-93.29433,Male,Hawthorne,3,03,01,Jan,2018
61066,2018-01-03 14:40:33.000000,NO,45.004290000000005,-93.30018000000001,Female,Jordan,3,03,01,Jan,2018
61067,2018-01-03 15:13:39.000000,YES,45.04481398,-93.2914604,Male,Lind - Bohanon,3,03,01,Jan,2018
61068,2018-01-03 15:31:50.000000,NO,45.00593747,-93.29218129,Male,Hawthorne,3,03,01,Jan,2018
61069,2018-01-03 15:35:11.000000,NO,44.95286437,-93.29798519,Female,Lowry Hill East,3,03,01,Jan,2018
61070,2018-01-03 16:46:42.000000,NO,45.03118041,-93.26513989,Other,Columbia Park,3,03,01,Jan,2018
61071,2018-01-03 16:54:03.000000,NO,44.959140000000005,-93.2473,Male,East Phillips,3,03,01,Jan,2018
61072,2018-01-03 17:03:46.000000,NO,45.0149,-93.28648000000001,Female,McKinley,3,03,01,Jan,2018
61073,2018-01-03 17:18:53.000000,NO,44.97902,-93.2649,Female,Downtown West,3,03,01,Jan,2018
61074,2018-01-03 17:21:46.000000,NO,45.018609999999995,-93.30064,Female,Folwell,3,03,01,Jan,2018
61076,2018-01-03 17:33:24.000000,NO,45.00748,-93.25698,Other,Logan Park,3,03,01,Jan,2018
61077,2018-01-03 17:40:19.000000,NO,44.94655,-93.23894,Other,Corcoran,3,03,01,Jan,2018
61078,2018-01-03 17:48:00.000000,NO,44.99876,-93.30821,Male,Willard - Hay,3,03,01,Jan,2018
61079,2018-01-03 17:50:09.000000,NO,44.94891146,-93.29367343,Male,Lowry Hill East,3,03,01,Jan,2018
61080,2018-01-03 17:50:15.000000,NO,45.032503000000005,-93.29322627,Male,Webber - Camden,3,03,01,Jan,2018
61081,2018-01-03 17:54:26.000000,NO,44.98284,-93.28154,Male,North Loop,3,03,01,Jan,2018
61082,2018-01-03 18:05:30.000000,YES,44.95510273,-93.29700253,Female,Lowry Hill East,3,03,01,Jan,2018
61083,2018-01-03 18:10:00.000000,NO,45.02046,-93.30954,Male,Cleveland,3,03,01,Jan,2018
61084,2018-01-03 18:12:13.000000,YES,44.98104,-93.23716999999999,Male,Marcy Holmes,3,03,01,Jan,2018
61085,2018-01-03 18:16:25.000000,NO,44.99808348,-93.30443559,Male,Willard - Hay,3,03,01,Jan,2018
61086,2018-01-03 18:27:12.000000,NO,45.00512587,-93.31331888,Male,Willard - Hay,3,03,01,Jan,2018
61087,2018-01-03 18:27:27.000000,NO,45.01233173,-93.30696956,Male,Jordan,3,03,01,Jan,2018
61090,2018-01-03 18:55:23.000000,NO,44.96269,-93.27941,Other,Whittier,3,03,01,Jan,2018
61091,2018-01-03 19:36:49.000000,NO,44.94836,-93.26013,Female,Powderhorn Park,3,03,01,Jan,2018
61092,2018-01-03 19:56:17.000000,NO,44.89927335,-93.21785016,Male,Morris Park,3,03,01,Jan,2018
61093,2018-01-03 19:59:13.000000,NO,45.00861324,-93.28799802,Female,Hawthorne,3,03,01,Jan,2018
61094,2018-01-03 20:10:13.000000,NO,44.95464417,-93.28932182,Other,Lowry Hill East,3,03,01,Jan,2018
61096,2018-01-03 20:28:46.000000,NO,44.948370000000004,-93.2525,Male,East Phillips,3,03,01,Jan,2018
61097,2018-01-03 20:37:24.000000,NO,45.02952,-93.30844,Female,Victory,3,03,01,Jan,2018
61098,2018-01-03 21:18:53.000000,NO,44.95195,-93.2512,Female,East Phillips,3,03,01,Jan,2018
61099,2018-01-03 21:53:50.000000,NO,44.93685437,-93.27145801,Other,Central,3,03,01,Jan,2018
61100,2018-01-04 01:14:09.000000,NO,44.94382029,-93.28814729,Male,Lyndale,4,04,01,Jan,2018
61101,2018-01-04 01:33:39.000000,NO,44.9999,-93.3037,Female,Willard - Hay,4,04,01,Jan,2018
61102,2018-01-04 02:07:50.000000,NO,44.92241679999999,-93.24857326,Other,Northrop,4,04,01,Jan,2018
61104,2018-01-04 02:28:44.000000,YES,45.01491,-93.28801999999999,Male,McKinley,4,04,01,Jan,2018
61105,2018-01-04 02:36:08.000000,NO,44.95006,-93.25249000000001,Male,Midtown Phillips,4,04,01,Jan,2018
61107,2018-01-04 02:43:53.000000,NO,45.03448778,-93.24474194,Other,Waite Park,4,04,01,Jan,2018
61109,2018-01-04 02:46:44.000000,YES,44.95006,-93.25249000000001,Male,Midtown Phillips,4,04,01,Jan,2018
61110,2018-01-04 03:24:40.000000,NO,44.92046872,-93.28833961,Male,King Field,4,04,01,Jan,2018
61111,2018-01-04 03:28:43.000000,NO,44.92046872,-93.28833961,Male,King Field,4,04,01,Jan,2018
61113,2018-01-04 03:46:18.000000,NO,44.95554,-93.26894,Female,Phillips West,4,04,01,Jan,2018
61115,2018-01-04 04:05:03.000000,NO,45.04484741,-93.30799857,Male,Shingle Creek,4,04,01,Jan,2018
61116,2018-01-04 04:07:45.000000,NO,44.95823569,-93.25239248,Male,Midtown Phillips,4,04,01,Jan,2018
61117,2018-01-04 04:15:26.000000,YES,44.99969389,-93.29105047,Male,Hawthorne,4,04,01,Jan,2018
61118,2018-01-04 04:24:06.000000,NO,45.01406482,-93.24911926,Other,Holland,4,04,01,Jan,2018
61119,2018-01-04 05:10:28.000000,NO,44.96798,-93.20772,Male,Prospect Park - East River Road,4,04,01,Jan,2018
61120,2018-01-04 05:52:41.000000,NO,45.013259999999995,-93.31589,Male,Cleveland,4,04,01,Jan,2018
61121,2018-01-04 06:06:07.000000,NO,44.95733,-93.26131,Male,Midtown Phillips,4,04,01,Jan,2018
61122,2018-01-04 06:11:23.000000,NO,44.92499769,-93.28893346,Male,East Harriet,4,04,01,Jan,2018
61123,2018-01-04 06:12:55.000000,NO,44.94056488,-93.21402034,Other,Howe,4,04,01,Jan,2018
61124,2018-01-04 06:45:51.000000,YES,44.94836,-93.25759000000001,Male,Powderhorn Park,4,04,01,Jan,2018
61125,2018-01-04 07:10:17.000000,NO,44.9875,-93.25783,Male,Nicollet Island - East Bank,4,04,01,Jan,2018
61126,2018-01-04 07:34:49.000000,YES,44.98021301,-93.23509281,Male,Marcy Holmes,4,04,01,Jan,2018
61128,2018-01-04 07:48:29.000000,NO,45.03555,-93.24722,Male,Waite Park,4,04,01,Jan,2018
61130,2018-01-04 07:56:40.000000,NO,44.95646234,-93.23624847,Other,Seward,4,04,01,Jan,2018
61131,2018-01-04 08:00:09.000000,NO,44.94836492,-93.30019407,Male,ECCO,4,04,01,Jan,2018
61133,2018-01-04 08:26:36.000000,NO,45.01681,-93.23841,Other,Audubon Park,4,04,01,Jan,2018
